File,Original Document Type,Detected Document Type,Classification Status
3456003.txt ,CTSca ,CTScanTextFile ,success
3456022.txt ,CTSca ,CTScanTextFile ,success
3456473.txt ,CTSca ,CTScanTextFile ,success
3456593.txt ,CTSca ,CTScanTextFile ,success
3456594.txt ,CTSca ,CTScanTextFile ,success
3456747.txt ,CTSca ,CTScanTextFile ,success
3456857.txt ,CTSca ,CTScanTextFile ,success
3457055.txt ,CTSca ,CTScanTextFile ,success
3457152.txt ,CTSca ,CTScanTextFile ,success
3457459.txt ,CTSca ,CTScanTextFile ,success
3458224.txt ,CTSca ,CTScanTextFile ,success
3458318.txt ,CTSca ,CTScanTextFile ,success
3458547.txt ,CTSca ,CTScanTextFile ,success
3458678.txt ,CTSca ,CTScanTextFile ,success
3458777.txt ,CTSca ,CTScanTextFile ,success
3458917.txt ,CTSca ,CTScanTextFile ,success
3459143.txt ,CTSca ,CTScanTextFile ,success
3459234.txt ,CTSca ,CTScanTextFile ,success
3459325.txt ,CTSca ,CTScanTextFile ,success
3459451.txt ,CTSca ,CTScanTextFile ,success
3459467.txt ,CTSca ,CTScanTextFile ,success
3459570.txt ,CTSca ,CTScanTextFile ,success
3459967.txt ,CTSca ,CTScanTextFile ,success
3459982.txt ,CTSca ,CTScanTextFile ,success
3459990.txt ,CTSca ,CTScanTextFile ,success
3460005.txt ,CTSca ,CTScanTextFile ,success
3460006.txt ,CTSca ,CTScanTextFile ,success
3460015.txt ,CTSca ,CTScanTextFile ,success
3460025.txt ,CTSca ,CTScanTextFile ,success
3460044.txt ,CTSca ,CTScanTextFile ,success
3460065.txt ,CTSca ,CTScanTextFile ,success
3460372.txt ,CTSca ,CTScanTextFile ,success
3460493.txt ,CTSca ,CTScanTextFile ,success
3460519.txt ,CTSca ,CTScanTextFile ,success
3460520.txt ,CTSca ,CTScanTextFile ,success
3460528.txt ,CTSca ,CTScanTextFile ,success
3460616.txt ,CTSca ,CTScanTextFile ,success
3461155.txt ,CTSca ,CTScanTextFile ,success
3461210.txt ,CTSca ,CTScanTextFile ,success
3461253.txt ,CTSca ,CTScanTextFile ,success
3461339.txt ,CTSca ,CTScanTextFile ,success
3461734.txt ,CTSca ,CTScanTextFile ,success
3461771.txt ,CTSca ,CTScanTextFile ,success
3461849.txt ,CTSca ,CTScanTextFile ,success
3461916.txt ,CTSca ,CTScanTextFile ,success
3462143.txt ,CTSca ,CTScanTextFile ,success
3462171.txt ,CTSca ,CTScanTextFile ,success
3462518.txt ,CTSca ,CTScanTextFile ,success
3462703.txt ,CTSca ,CTScanTextFile ,success
3462781.txt ,CTSca ,CTScanTextFile ,success
3463098.txt ,CTSca ,CTScanTextFile ,success
3463131.txt ,CTSca ,CTScanTextFile ,success
3463146.txt ,CTSca ,CTScanTextFile ,success
3464200.txt ,CTSca ,CTScanTextFile ,success
3464583.txt ,CTSca ,CTScanTextFile ,success
3464754.txt ,CTSca ,CTScanTextFile ,success
3465248.txt ,CTSca ,CTScanTextFile ,success
3465268.txt ,CTSca ,CTScanTextFile ,success
3465304.txt ,CTSca ,CTScanTextFile ,success
3465697.txt ,CTSca ,CTScanTextFile ,success
3465762.txt ,CTSca ,CTScanTextFile ,success
3465763.txt ,CTSca ,CTScanTextFile ,success
3465852.txt ,CTSca ,CTScanTextFile ,success
3465982.txt ,CTSca ,CTScanTextFile ,success
3466355.txt ,CTSca ,CTScanTextFile ,success
3466422.txt ,CTSca ,CTScanTextFile ,success
3466478.txt ,CTSca ,CTScanTextFile ,success
3466943.txt ,CTSca ,CTScanTextFile ,success
3466977.txt ,CTSca ,CTScanTextFile ,success
3467505.txt ,CTSca ,CTScanTextFile ,success
3467828.txt ,CTSca ,CTScanTextFile ,success
3467948.txt ,CTSca ,CTScanTextFile ,success
3467950.txt ,CTSca ,CTScanTextFile ,success
3467952.txt ,CTSca ,CTScanTextFile ,success
3467999.txt ,CTSca ,CTScanTextFile ,success
3468904.txt ,CTSca ,CTScanTextFile ,success
3468971.txt ,CTSca ,CTScanTextFile ,success
3469391.txt ,CTSca ,CTScanTextFile ,success
3469466.txt ,CTSca ,CTScanTextFile ,success
3469493.txt ,CTSca ,CTScanTextFile ,success
3469594.txt ,CTSca ,CTScanTextFile ,success
